hospital_id,lat,lng,amap_poi_id,formatted_address,confidence,source,distance_m
1,22.556441,114.049251,B02F3006F9,广东省深圳市福田区莲花街道北京大学深圳医院,medium,amap_text,629.3
2,22.525518,113.996092,B02F38J6XC,广东省深圳市福田区沙头街道香港大学深圳医院香港大学深圳医院门诊医技楼,low,amap_text,9469.7
3,22.557275,114.08574,B02F305KXG,广东省深圳市福田区华富街道深圳市第二人民医院,medium,amap_text,579.3
4,22.537003,114.085633,B02F37V46B,广东省深圳市福田区福田街道深圳市中医院深圳市中医院福田院区,medium,amap_text,1718.2
5,22.518468,114.048727,B02F37S1FD,广东省深圳市福田区福保街道深圳市妇幼保健院(福强院区),low,amap_text,4026.1
6,22.547396,114.053925,B02F3006F6,广东省深圳市福田区莲花街道深圳市儿童医院,medium,amap_text,561.6
7,22.557525,114.12803,B02F37W9ER,广东省深圳市罗湖区翠竹街道深圳市人民医院,high,amap_text,470.3
8,22.635393,114.12875,B02F38JF90,广东省深圳市龙岗区南湾街道深圳市第三人民医院,low,amap_text,7530.0
9,22.53785,114.122198,B02F38IHAD,广东省深圳市罗湖区南湖街道深圳市罗湖区人民医院深圳市罗湖区人民医院嘉宾院区住院楼,medium,amap_text,1554.0
10,22.530603,113.922873,B02F37W6BO,广东省深圳市南山区南头街道深圳市南山区人民医院,medium,amap_text,556.8
11,22.544303,113.896065,B0FFGZH820,广东省深圳市宝安区新安街道南方医科大学深圳医院,low,amap_text,8285.5
12,22.594355,113.987481,B0FFGS2QMD,广东省深圳市南山区桃源街道深圳西丽高尔夫乡村球俱乐部深圳大学总医院,medium,amap_text,1287.4
13,22.49675,113.92218,B02F37UK0Q,广东省深圳市南山区招商街道深圳市前海蛇口自贸区医院,medium,amap_text,1893.7
14,22.562217,113.914854,B02F302E7B,广东省深圳市宝安区新安街道深圳市宝安人民医院,medium,amap_text,575.3
15,22.571818,113.899183,B02F38MTMC,广东省深圳市宝安区新安街道深圳市宝安中医院(集团),high,amap_text,394.0
16,22.732787,113.805327,B0FFMAXV9S,广东省深圳市宝安区沙井街道杏园居深圳市中西医结合医院,low,amap_text,2097.4
17,22.537651,114.103157,B0FFF01QYN,广东省深圳市福田区南园街道深圳平乐骨伤科医院(福田院区)维也纳智好酒店(深圳万象城店),low,amap_text,20547.1
18,22.735289,114.2835,B02F37SEK5,广东省深圳市龙岗区龙岗街道深圳市龙岗中心医院,low,amap_text,4174.1
19,22.726294,114.227612,B02F301B9F,广东省深圳市龙岗区龙城街道徽王府深圳市龙岗区人民医院,low,amap_text,2260.8
20,22.547396,114.053925,B02F3006F6,广东省深圳市福田区莲花街道深圳市儿童医院,low,amap_text,25726.7
21,22.655543,114.03262,B02F38WSN9,广东省深圳市龙华区龙华街道深圳市龙华区人民医院,low,amap_text,3246.8
22,22.713407,114.046105,B02F38IG6T,广东省深圳市龙华区福城街道观澜大道187号深圳市龙华区中心医院2号楼,medium,amap_text,644.6
23,22.787789,113.954565,B0FFH04ESU,广东省深圳市光明区新湖街道中山大学附属第七医院中山大学附属第七医院二期1标,low,amap_text,2027.7
24,22.687216,114.351116,B02F3052C4,广东省深圳市坪山区坪山街道深圳市坪山区人民医院,low,amap_text,2334.4
25,22.55745,114.2337,B02F37VD7D,广东省深圳市盐田区海山街道深圳市盐田区人民医院(主院区),medium,amap_text,849.0
26,23.126383,113.291007,B00140226E,广东省广州市越秀区农林街道中国银行(中山医支行)中山大学附属第一医院手术科大楼,high,amap_text,181.2
27,23.125087,113.287272,B00140UERJ,广东省广州市越秀区大东街道广东省人民医院,medium,amap_text,597.0
28,23.109552,113.255889,B0FFH3TURK,广东省广州市越秀区人民街道中山大学孙逸仙纪念医院(北院区),medium,amap_text,1935.0
29,23.132961,113.220603,B0HBT9513E,广东省广州市荔湾区桥中街道广州医科大学附属第一医院(大坦沙院区),low,amap_text,6263.4
30,23.131213,113.256532,B00140UENM,广东省广州市越秀区六榕街道广州市第一人民医院(院本部)广州市第一人民医院(院本部)外科大楼,medium,amap_text,1483.0
31,23.188439,113.33056,B00140VAW2,广东省广州市白云区京溪街道南方医科大学南方医院(院本部)南方医科大学南方医院院本部外科楼,medium,amap_text,1415.2
32,23.157294,113.264493,B00140201C,广东省广州市白云区三元里街道广州中医药大学第一附属医院广州中医药大学第一附属医院(机场路院区),high,amap_text,64.4
33,23.118233,113.256541,B00140U136,广东省广州市越秀区光塔街道温良里社区广东省中医院(大德路总院),medium,amap_text,1806.6
34,23.134165,113.341211,B0FFF5UY3V,广东省广州市天河区石牌街道中山大学附属第三医院(天河院区),low,amap_text,2167.3
35,23.126178,113.350552,B00140382F,广东省广州市天河区石牌街道暨南大学附属第一医院暨南大学(石牌校区)第一临床医学院,medium,amap_text,1214.9
36,23.134572,113.362812,B00140U89D,广东省广州市天河区棠下街道南方医科大学第三附属医院,low,amap_text,2667.4
37,23.124874,113.320253,B0FFFGTR83,广东省广州市天河区冼村街道广州市妇女儿童医疗中心(珠江新城院区)特需人群接种门诊,medium,amap_text,1908.8
38,23.017448,113.369777,B00141KFNH,广东省广州市番禺区南村镇广东省妇幼保健院(番禺院区),low,amap_text,15542.9
39,23.124972,113.319091,B0FFGIO8YZ,广东省广州市天河区冼村街道中山大学中山眼科中心(珠江新城院区),low,amap_text,2721.4
40,23.118109,113.319391,B0KD0ZWVHQ,广东省广州市天河区猎德街道保利大厦保利大厦西塔,low,amap_text,2826.9
41,22.910463,113.375933,B00141IE64,广东省广州市番禺区桥南街道广州医科大学附属番禺中心医院,low,amap_text,3296.7
42,23.373769,113.211716,B001408EB9,广东省广州市花都区新华街道广州市花都区人民医院,low,amap_text,2272.3
43,22.786447,113.53379,B00140UE9J,广东省广州市南沙区南沙街道广州市南沙中心医院,medium,amap_text,1917.0
44,23.090399,113.277461,B0LALCPD2N,广东省广州市海珠区昌岗街道广州医科大学附属第二医院门诊部广州医科大学附属第二医院(昌岗院区),medium,amap_text,1239.3
45,22.274667,113.575899,B0FFGJ5C5X,广东省珠海市香洲区狮山街道珠海市人民医院急诊楼珠海市人民医院(南区),medium,amap_text,617.8
46,22.298425,113.573455,B02F400ISX,广东省珠海市香洲区香湾街道中山大学附属第五医院医技楼,medium,amap_text,625.1
47,22.252376,113.578458,B02F400SHE,广东省珠海市香洲区吉大街道广东省中医院珠海医院广东省中医院珠海医院门诊1号楼,medium,amap_text,605.7
48,22.269464,113.560134,B0GRJHN84E,广东省珠海市香洲区翠香街道珠海市妇幼保健院(柠溪院区),medium,amap_text,624.1
49,22.217139,113.501884,B0FFFY1V5P,广东省珠海市香洲区南屏镇香洲区第二人民医院,low,amap_text,18922.1
50,22.164756,113.303105,B0FFFQ0AHO,广东省珠海市斗门区井岸镇遵义医科大学第五附属(珠海)医院,low,amap_text,5819.7
